"Ведомость учета муниципального жилого фонда, закрепленного в оперативное управление МКУ ""Жилищное управление г. Орла"" по состоянию на 01-04-22";;;;;;;
№ п/п;Адрес дома;Количество жилых объектов, всего;Общая площадь жилых объектов, всего м2;Количество муниципальных жилых объектов;Общая площадь муниципальных жилых объектов, м2;В мун. собств.%;Муниципальные жилые объекты
359;Автогрейдерная ул 9 ;29;808,05;10;330,05;371,54;1-2, 1.2, 11, 12.13, 15, 25.26, 27, 28, 31, 36
360;Автогрейдерная ул 9 ;;;1;20,2;;к.16
361;Автогрейдерная ул 9 ;;;1;20,2;;к.17
362;Автогрейдерная ул 9 ;;;1;19,4;;к.34
363;Автогрейдерная ул 9 ;;;1;98,3;;2(24/98)
364;Автогрейдерная ул 9 ;;;1;218,4;;3(16/218)
365;Автогрейдерная ул 9 ;;;1;218,4;;3(26/218)
366;Автогрейдерная ул 9 ;;;1;18;;к.18
367;Автогрейдерная ул 9 ;;;1;119,7;;1(24/120)
368;Автогрейдерная ул 9 ;;;1;119,7;;1(24/120)
369;Автогрейдерная ул 9 ;;;1;19,3;;к.29
370;Автогрейдерная ул 9 ;;;1;98,3;;2(24/196)
371;Автогрейдерная ул 9 ;;;1;98,3;;2(24/196)
372;Автогрейдерная ул 9 ;;;1;138,3;;4(15/414)
373;Автогрейдерная ул 9 ;;;1;138,3;;4(15/414)
374;Автогрейдерная ул 9 ;;;1;138,3;;4(50/276)
375;Автогрейдерная ул 9 ;;;1;138,3;;4(25/138)
376;Автогрейдерная ул 9 ;;;1;138,3;;4(48/138)
377;Автогрейдерная ул 9 ;;;1;98,3;;2(25/98)
378;Автогрейдерная ул 9 ;;;1;19,8;;к.35    
379;Автогрейдерная ул 9 ;;;1;119,7;;1(24/240
380;Автогрейдерная ул 9 ;;;1;119,7;;1(24/240
381;Автогрейдерная ул 9 ;;;1;119,7;;1(24/120
382;Автогрейдерная ул 9 ;;;1;138,3;;4(46/278
383;Автогрейдерная ул 9 ;;;1;20;;к.30    
384;Автогрейдерная ул 9 ;;;1;19;;к.32 
385;Автогрейдерная ул 9 ;;;1;119,7;;1(24/120)
386;Автогрейдерная ул 9 ;;;1;138,3;;4(15/414)
387;Алроса ул 3 ;1;61,1;1;61,1;0,00;107,
388;Алроса ул 3 ;1;56,1;1;56,1;0,00;7,
389;Алроса ул 3 ;1;35,7;1;35,7;0,00;158,
390;Алроса ул 3 ;1;35,6;1;35,6;0,00;177,
391;Алроса ул 3 ;1;61;1;61;0,00;221,
392;Алроса ул 3 ;1;61,2;1;61,2;0,00;227,
393;Алроса ул 3 ;1;61;1;61;0,00;167,
394;Алроса ул 3 ;1;36,9;1;36,9;0,00;182,
395;Алроса ул 3 ;1;61;1;61;0,00;281,
396;Алроса ул 3 ;1;35,7;1;35,7;0,00;153,
397;Алроса ул 3 ;1;42,7;1;42,7;0,00;70,
398;Алроса ул 3 ;1;35,7;1;35,7;0,00;237
399;Андреева ул 1 ;8;271,3;2;63,1;23,26;3,4,
400;Андреева ул 17 ;8;274,4;6;206;100,00;1,2,3,4,7,8,
401;Андреева ул 17 ;;37;1;37;;6
402;Андреева ул 17 ;;31,4;1;31,4;;5
403;Андреева ул 19 ;8;271,1;2;67,5;24,90;4,6,
404;Андреева ул 21 ;15;342,5;4;58,8;65,78;3,6,11,11а ,
405;Андреева ул 21 ;;;1;25;;15,15а,
406;Андреева ул 21 ;;;1;20,7;;13
407;Андреева ул 21 ;;;1;21,4;;5
408;Андреева ул 21 ;;;1;44,7;;4
409;Андреева ул 21 ;;;1;26,9;;7
410;Андреева ул 21 ;;;1;27,8;;8
411;Андреева ул 23 ;13;381;5;150,2;39,42;2,4,5,6,7,
412;Андреева ул 25 ;14;367,4;3;91,1;24,80;2, 3, 10
413;Андреева ул 26 ;16;562;2;71,2;12,67;11,16,
414;Андреева ул 27 ;16;551,8;5;175,4;31,79;1,2,3,4,15,
415;Андреева ул 29 ;16;560,6;5;170,5;30,41;1, 3, 9, 10, 12
416;Андреева ул 3 ;8;293;1;33,4;11,40;1,
417;Андреева ул 31 ;12;388,4;1;52,8;13,59;8
418;Андреева ул 5 ;8;292,2;0;0;0,00;
419;Андриабужная ул 14 ;2;117,6;0;0;0,00;
420;Андриабужная ул 18 ;2;163,6;1;113,5;69,38;1,
421;Андриабужная ул 20 ;3;200,5;0;0;0,00;
422;Андриабужная ул 22 ;2;118,3;1;58,1;49,11;2,
423;Андриабужная ул 24 ;2;151,6;0;0;0,00;
424;Андрианова ул 1 ;103;4483,4;5;212,3;4,74;3,5,32,38,100,
425;Андрианова ул 12 ;137;7555,7;4;156,3;2,07;2, 76, 76.1, 134
426;Андрианова ул 12 А;65;3430,2;3;153,7;4,48;10, 28, 63
427;Андрианова ул 2 ;136;7498,1;7;379,4;5,06;9,31,41,47,51,116,127,
428;Андрианова ул 4 ;144;7951,5;0;0;0,00;
429;Андрианова ул 5 ;290;15742,4;15;766,7;4,87;7, 73, 78, 100, 109, 112, 120, 123, 132, 220, 246, 257, 259, 261, 261.
430;Андрианова ул 7 ;75;5273,7;0;0;0,00;
431;Андрианова ул 8 ;120;3205,95;1;20,6;0,64;72
432;Антонова ул 1 ;16;563;4;147,8;26,25;1,3,7,10,
433;Антонова ул 2 ;16;590,1;5;187,7;31,81;7,11,12,14,16,
434;Антонова ул 3 ;16;577,5;2;71;12,29;1,6,
435;Антонова ул 4 ;16;568,2;7;259,4;45,65;2,3,5,6,10,11,12,
436;Антонова ул 5 ;100;4521,5;1;44,5;0,98;76
437;Антонова ул 5 ;;44,3;0;0;;
438;Антонова ул 6 ;16;553,3;2;75,4;13,63;2,11,
439;Антонова ул 8 ;16;590,5;5;182,7;30,94;3,5,7,10,15,
440;Аптечный пер 2 ;59;2878,5;4;267,7;9,30;5, 13, 35, 48
441;Артельный пер 10 ;147;7859,9;10;557,9;7,94;5, 41, 69, 70, 71, 92, 105, 122, 123, 127
442;Артельный пер 10 ;;;1;66,5;;36
443;Артельный пер 26;1;10245,3;1;82,7;0,00;1
444;Артельный пер 28;1;39,4;0;0;0,00;
445;Артельный пер 28;1;57;0;0;0,00;
446;Артельный пер 28;1;57,2;0;0;0,00;
447;Артельный пер 28;1;56,6;0;0;0,00;
448;Артельный пер 4 ;403;22209,8;37;2232,6;10,05;1, 20, 26, 29, 65, 68, 93, 99, 105, 106, 115, 125, 149, 150, 153, 158, 158., 159, 161, 187, 204, 207, 218, 224, 240, 243, 252, 253, 269, 275, 283, 292, 297, 343, 349, 360, 381
449;Артельный пер 8 ;108;7683,7;0;0;0,00;
450;Багажный пер 1 ;84;3477,3;1;52,2;1,50;66
451;Багажный пер 3 ;60;2679,8;2;95,4;3,56;10, 57
452;Балтийский пер 1 ;4;165,7;0;0;0,00;
453;Балтийский пер 10 ;4;158,3;0;0;22,68;
454;Балтийский пер 10 ;;;1;35,9;;2
455;Балтийский пер 11 ;8;293,2;0;0;0,00;
456;Балтийский пер 12 ;10;365,4;0;0;9,20;
457;Балтийский пер 12 ;;33,6;1;33,6;;4
458;Балтийский пер 13 ;33;1487,6;0;0;0,00;
459;Балтийский пер 2 ;2;79,7;0;0;0,00;
460;Балтийский пер 3 ;4;174,2;0;0;0,00;
461;Балтийский пер 5 ;5;220,2;0;0;0,00;
462;Балтийский пер 6 ;2;61,2;0;0;0,00;
463;Балтийский пер 7 ;4;286,7;0;0;0,00;
464;Балтийский пер 8 ;4;168,2;0;0;23,66;
465;Балтийский пер 8 ;;39,8;1;39,8;;2
466;Балтийский пер 9 ;4;243,7;0;0;0,00;
467;Березовая ул 11 ;1;58,2;1;58,2;100,00;2,
468;Березовая ул 7 ;1;55,1;0;0;0,00;
469;Березовая ул 8 ;1;84,9;0;0;0,00;
470;Березовая ул 9 ;1;59,8;1;59,8;0,00;2,
471;Бетонный пер 11 ;83;1599,7;13;282,2;18,77;9, 14, 16,16а, 18-19, 23, 26, 27(специализированный маневренный жилищный фонд), 31, 45, 46, 49, 57, 58
472;Бетонный пер 11 ;;;1;18;;74,
473;Бетонный пер 12 ;122;6417,4;8;424,3;7,50;15, 29, 34, 70, 77, 87, 88, 93
474;Бетонный пер 12 ;;;1;56,9;;97,
475;Бетонный пер 13 ;82;1597,7;15;305;21,19;5, 8, 10, 12, 14.1, 21, 28, 51, 56, 59, 62 (специализированный маневренный жилищный фонд), 67, 71, 86, 90.91
476;Бетонный пер 13 ;;;1;33,6;;15а
477;Бетонный пер 17 ;60;2800,4;8;440;15,71;21,22,37,39,51,52,54,60,
478;Бетонный пер 18 ;45;2159,9;4;190,4;8,82;3, 14, 18, 19
479;Бетонный пер 3 ;45;1732,6;6;214,2;12,36;22, 24, 34, 38, 41.3, 41.5
480;Бетонный пер 4 ;30;810,1;17;496,6;61,30;1-2,3-4,5,6,8,9,10,11,18,21,22,23,24,25,26,29,30,34,
481;Бетонный пер 7 ;16;542,6;6;198,5;36,58;1,2,3,8,13,16,
482;Бетонный пер 9 ;52;1928;5;207,1;10,74;6, 13, 23, 26, 29
483;Ботанический пер 27 ;40;2753,3;0;0;0,00;
484;Ботанический пер 29 ;21;1536;0;0;0,00;
485;Ботанический пер 4 ;140;6164,1;6;281,6;4,57;3, 8, 12, 43, 67, 130
486;Брестская ул 10 ;33;3074,5;0;0;0,00;
487;Брестская ул 12 ;71;4464,1;0;0;0,00;
488;Брянская ул 1 ;3;112,1;3;90;80,29;1,4,3,
489;Брянская ул 50 ;2;117;0;0;0,00;
490;Брянская ул 52 ;6;426;0;0;0,00;
491;Бунина ул 22 ;16;557,6;2;72,7;13,04;3,15,
492;Бунина ул 27 ;17;541,3;3;104,3;19,27;7, 8., 9
493;Бурова ул 10 ;80;3489,3;10;464,3;13,31;4, 14, 39, 40, 44, 48, 50, 52, 55, 75
494;Бурова ул 14 ;147;7838,3;0;0;0,00;
495;Бурова ул 18 ;148;7766,97;0;0;0,00;
496;Бурова ул 2 ;72;3955,1;9;518;13,10;1,15,20,23,27,28,45,47,69,
497;Бурова ул 20 ;74;3977,1;0;0;0,00;
498;Бурова ул 22 ;109;5439,8;8;375,7;6,91;12, 54, 54.1, 86, 99, 101, 102, 105
499;Бурова ул 26 ;218;11652,66;26;1423,96;12,22;1, 20, 21, 24, 40, 47, 50, 68, 75, 92, 100, 103, 143, 151, 165, 171, 177, 195, 198, 202, 203, 210, 215, 216
500;Бурова ул 30 ;363;19043,13;35;2025,1;10,63;3, 4, 6, 40, 41, 48, 91, 100, 101, 137, 141, 163, 184, 185, 192, 197, 199, 204, 231, 232, 239, 247, 248, 251, 256, 268, 285, 289, 291, 316, 326, 331, 342, 354, 360
501;Бурова ул 32 ;203;10957,8;0;0;0,00;
502;Бурова ул 36 ;161;8575,9;1;52,51;0,61;122
503;Бурова ул 38 ;120;6756,4;0;0;0,00;
504;Бурова ул 4 ;102;4522,18;5;245,2;5,42;12, 18, 27, 55, 85
505;Бурова ул 40 ;161;8627,3;5;279,3;3,24;10,69,107,117,135,
506;Бурова ул 44 ;1;33,9;1;33,9;0,00;226,
507;Бурова ул 44 ;1;33,8;1;33,8;0,00;243,
508;Бурова ул 44 ;1;33,6;1;33,6;0,00;204,
509;Бурова ул 44 ;1;33,7;1;33,7;0,00;244,
511;Бурова ул 44 ;1;68,8;1;68,8;0,00;191
512;Бурова ул 44 ;1;68,7;1;68,7;0,00;206
513;Бурова ул 44 ;1;68,9;1;68,9;0,00;210
514;Бурова ул 44 ;1;51,3;1;51,3;0,00;257
515;Бурова ул 44 ;1;51,3;1;51,3;0,00;269
516;Бурова ул 44а;1;41,8;1;41,8;0,00;199 (специализированный жилищный фонд для детей-сирот)
517;Бурова ул 44а;1;25,5;1;25,5;0,00;74
518;Бурова ул 6 ;82;3554;5;176,3;6,29;18, 28, 28.1, 34, 48
519;Бурова ул 6 ;;;1;46,1;;26
520;Бурова ул 8 ;80;3554,9;7;348,5;9,80;8, 12, 25, 47, 49, 59, 80
521;Васильевская ул 119 ;72;3388,3;3;168,2;4,96;4, 51, 70,
522;Васильевская ул 123 ;71;3149;4;204;6,48;10, 12, 38, 50
523;Васильевская ул 127 ;154;7843;15;792,9;10,11;2, 20, 44, 63, 68, 72, 73, 76, 77, 83, 84, 96, 110, 111, 121
524;Васильевская ул 136 ;149;7762,8;14;810,3;10,44;34, 37, 60, 61, 68, 69, 79, 83, 92, 105, 120, 122, 124, 127
525;Васильевская ул 146 ;12;396,3;1;37,6;9,49;8
526;Васильевская ул 148 ;12;403;1;37,5;9,31;5
527;Васильевская ул 15 ;3;112,7;2;83,9;74,45;5,6,
528;Васильевская ул 150 ;11;394,5;2;73,6;18,66;3,12,
529;Васильевская ул 152 ;12;408,3;2;64,1;15,70;4 (специализированный служебный жилищный фонд), 6
530;Васильевская ул 154 ;12;396;0;0;0,00;
531;Васильевская ул 155 ;8;392;3;136,7;34,87;4, 5, 6
532;Васильевская ул 157 ;8;388,5;2;84,4;21,72;2,7,
533;Васильевская ул 159 ;10;388,7;2;81,4;20,94;3,7,
534;Васильевская ул 161 ;8;390;2;110,3;28,28;3, 8
535;Васильевская ул 163 ;11;389,7;2;81,4;20,89;4,6,
536;Васильевская ул 165 ;9;391,7;4;206,2;52,64;1,3,6,8,
537;Васильевская ул 26 ;10;393,1;0;0;0,00;
538;Васильевская ул 27 ;13;329,3;5;138,2;76,30;1,2,3,6,11,
539;Васильевская ул 27 ;;;1;13,8;;15
540;Васильевская ул 27 ;;;1;21,1;;10
541;Васильевская ул 27 ;;;1;46;;5
542;Васильевская ул 27 ;;;1;25,6;;9
543;Васильевская ул 27 ;;;1;28,6;;18
544;Васильевская ул 29 ;7;210,1;6;173,8;99,53;3,4,6,7,8,12,
545;Васильевская ул 29 ;1;24,8;1;24,8;;9
546;Васильевская ул 29 ;;;1;35,2;;5
547;Васильевская ул 31 ;4;123;2;54,1;43,98;1,2,
548;Васильевская ул 33 ;4;115,7;2;63,2;54,62;1,3,
549;Васильевская ул 39 ;1;48,9;0;0;0,00;
550;Васильевская ул 44 ;1;42,4;0;0;0,00;
551;Васильевская ул 46 ;4;111,8;1;31,8;28,44;2
552;Васильевская ул 48 ;5;157,7;2;61,5;85,61;5,6,
553;Васильевская ул 48 ;;;1;44,1;;1
554;Васильевская ул 48 ;;;1;29,4;;7
555;Васильевская ул 50 ;3;105,5;2;61,1;57,91;2,3,
556;Васильевская ул 84 А;30;1190,3;1;31,6;2,65;3
557;Васильевская ул 86 ;50;1482;3;64,8;4,37;3,9,38,
558;Ватная ул 11 ;16;563;2;77,1;13,69;3, 7
559;Ватная ул 13 ;16;571,9;1;32;5,60;8
560;Ватная ул 16 ;14;366,4;3;82,4;22,49;6,9,10,
561;Ватная ул 18 ;49;2888,7;0;0;0,00;
562;Ватная ул 20 ;12;366;4;101,4;32,98;7,10,11,13,
563;Ватная ул 20 ;1;28,8;1;28,8;;2(лит3),
564;Ватная ул 22 ;14;362,6;4;102,1;28,16;4,6,12,14,
565;Ватная ул 3 ;11;389;0;0;0,00;
566;Ватная ул 5 ;11;380,2;0;0;0,00;
567;Ватная ул 7 ;13;408,9;0;0;0,00;
568;Ватная ул 9 ;16;562,2;3;107,7;19,16;4,6,15,
569;Веселая ул 10 ;16;558,8;2;63,4;11,35;6, 16
570;Веселая ул 12 ;60;2852,5;0;0;0,00;
571;Веселая ул 14 ;16;524,2;2;65,3;12,46;13,16,
572;Веселая ул 18 ;8;258,8;0;0;0,00;
573;Веселая ул 20 ;8;254,7;1;40,9;16,06;2,
574;Веселая ул 22 ;8;268,3;0;0;0,00;
575;Веселая ул 24 ;56;2555,8;1;59,3;2,32;34
576;Веселая ул 8 ;16;547,3;3;101,1;18,47;1, 6, 15
577;Воскресенский пер 13 А;26;1568,9;0;0;0,00;
578;Воскресенский пер 14 А;12;435,1;4;156,4;35,95;3, 6, 7, 10
579;Воскресенский пер 16 А;8;332,1;1;31,8;9,58;2,
580;Воскресенский пер 5/9 ;18;874,9;0;0;0,00;
581;Воскресенский пер 7 ;22;677,1;1;25,2;3,72;30,
582;Воскресенский пер 9 ;11;349,6;2;59,7;17,08;14,20,
583;Высокая ул 1 ;83;4070,1;0;0;0,00;
584;Высокая ул 36 ;4;145,4;0;0;0,00;
585;Высоковольтная ул 11 ;33;1340,6;7;310,6;23,17;4, 8, 9, 16, 19, 28, 30
586;Высоковольтная ул 6;1;48,9;0;0;0,00;
587;Высоковольтная ул 6;1;43,8;0;0;0,00;
588;Высоковольтная ул 6;1;41,7;1;41,7;0,00;17
589;Высоковольтная ул 6;1;63,1;1;63,1;0,00;10
590;Высоковольтная ул 6;1;43,4;1;43,4;0,00;15
591;Высоковольтная ул 6;1;42,6;1;42,6;0,00;1
592;Высоковольтная ул 6;1;44,6;1;44,6;0,00;2
593;Высоковольтная ул 6;1;44,7;1;44,7;0,00;5
594;Высоковольтная ул 6;1;63,6;1;63,6;0,00;7
595;Высоковольтная ул 6;1;41,7;1;41,7;0,00;14
596;Высоковольтная ул 6 А;1;41;1;41;0,00;4,
597;Высоковольтная ул 6 А;1;60,6;1;60,6;0,00;6,
598;Высоковольтная ул 6 А;1;39,7;1;39,7;0,00;5,
599;Выставочная ул 17;1;42,2;1;42,2;0,00;1 (специализированный жилищный фонд для детей-сирот)
600;Выставочная ул 17;1;41,7;1;41,7;0,00;4 (специализированный жилищный фонд для детей-сирот)
601;Выставочная ул 17;1;41,6;1;41,6;0,00;12 (специализированный жилищный фонд для детей-сирот)
602;Выставочная ул 17;1;42;1;42;0,00;16 (специализированный жилищный фонд для детей-сирот)
603;Выставочная ул 17;1;42,1;1;42,1;0,00;25 (специализированный жилищный фонд для детей-сирот)
604;Выставочная ул 17;1;41,9;1;41,9;0,00;28 (специализированный жилищный фонд для детей-сирот)
605;Выставочная ул 17;1;41,8;1;41,8;0,00;36 (специализированный жилищный фонд для детей-сирот)
606;Выставочная ул 19;1;42,4;1;42,4;0,00;1 (специализированный жилищный фонд для детей-сирот)
607;Выставочная ул 19;1;41,3;1;41,3;0,00;13 (специализированный жилищный фонд для детей-сирот)
608;Выставочная ул 19;1;41,2;1;41,2;0,00;25 (специализированный жилищный фонд для детей-сирот)
609;Выставочная ул 19;1;42,2;1;42,2;0,00;28 (специализированный жилищный фонд для детей-сирот)
610;Гагарина ул 1/3 ;14;382,5;1;13,5;3,53;4,
611;Гагарина ул 13 ;4;149,3;0;0;23,64;
612;Гагарина ул 13 ;;;1;35,3;;3
613;Гагарина ул 13 А;3;130,4;0;0;0,00;
614;Гагарина ул 17 ;16;557,2;3;95,3;17,10;8, 9, 16
615;Гагарина ул 21 ;12;350,7;7;194,2;55,37;3-4,8,10,11,12,14,17,
616;Гагарина ул 22 ;38;1498,7;0;0;2,77;
617;Гагарина ул 22 ;;41,5;1;41,5;;18
618;Гагарина ул 25 ;4;154,9;0;0;0,00;
619;Гагарина ул 28 ;9;289;0;0;0,00;
620;Гагарина ул 28 А;5;100,4;0;0;0,00;
621;Гагарина ул 30 ;13;443,5;0;0;0,00;
622;Гагарина ул 35 ;1;88,7;1;88,7;100,00;56,
623;Гагарина ул 37 ;2;88,8;0;0;0,00;
624;Гагарина ул 38 ;1;48,5;0;0;0,00;
625;Гагарина ул 40 ;1;42,4;1;42,4;0,00;1,
626;Гагарина ул 40 ;1;58,5;1;58,5;0,00;5
627;Гагарина ул 49 ;145;7743,9;3;149,4;1,93;54, 76, 114
628;Гагарина ул 50 А;1;11,2;1;11,2;100,00;1,
629;Гагарина ул 51 ;134;7328;12;674,9;9,21;9, 10, 13, 22, 24, 25, 38, 52, 62, 63, 96, 99
630;Гагарина ул 70 ;1;64,3;0;0;0,00;
631;Гагарина ул 84 ;1;31,5;0;0;0,00;
632;Гагарина ул 87 ;1;14,4;0;0;0,00;
633;Гайдара пер 4 ;8;275,7;1;37,7;25,10;3,
634;Гайдара пер 4 ;;;1;31,5;;1
635;Гайдара ул 35 ;16;518,2;4;127,1;24,53;9,11,13,15,
636;Гайдара ул 36 ;90;4299,8;7;377,2;8,77;2, 7, 10, 21, 24, 62, 80
637;Гайдара ул 37;1;33,3;1;33,3;0,00;1
638;Гайдара ул 37;1;34,4;1;34,4;0,00;2
639;Гайдара ул 37;1;53,2;1;53,2;0,00;7
640;Гайдара ул 37;1;37,7;1;37,7;0,00;10
641;Гайдара ул 37;1;54;1;54;0,00;12
642;Гайдара ул 37;1;55,6;1;55,6;0,00;74
643;Гайдара ул 37;1;59,6;1;59,6;0,00;77
645;Гайдара ул 37;1;56,8;1;56,8;0,00;79
